2018-04-04 10:22:56,510 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'INSERT INTO "django_migrations" ("app", "name", "applied") VALUES (%s, %s, %s)' - PARAMS = (u'auth', u'0002_alter_permission_name_max_length', u'2018-04-04 02:22:56.510000'); args=['auth', u'0002_alter_permission_name_max_length', u'2018-04-04 02:22:56.510000']
2018-04-04 10:22:56,584 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
2018-04-04 10:22:56,592 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = "\n            SELECT name, type FROM sqlite_master\n            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'\n            ORDER BY name" - PARAMS = (); args=None
2018-04-04 10:22:56,622 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
2018-04-04 10:22:56,624 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'INSERT INTO "django_migrations" ("app", "name", "applied") VALUES (%s, %s, %s)' - PARAMS = (u'auth', u'0003_alter_user_email_max_length', u'2018-04-04 02:22:56.623000'); args=['auth', u'0003_alter_user_email_max_length', u'2018-04-04 02:22:56.623000']
2018-04-04 10:22:56,703 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
2018-04-04 10:22:56,711 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = "\n            SELECT name, type FROM sqlite_master\n            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'\n            ORDER BY name" - PARAMS = (); args=None
2018-04-04 10:22:56,713 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
2018-04-04 10:22:56,714 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) QUERY = u'INSERT INTO "django_migrations" ("app", "name", "applied") VALUES (%s, %s, %s)' - PARAMS = (u'auth', u'0004_alter_user_username_opts', u'2018-04-04 02:22:56.713000'); args=['auth', u'0004_alter_user_username_opts', u'2018-04-04 02:22:56.713000']
2018-04-04 10:22:56,766 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = u'BEGIN' - PARAMS = (); args=None
2018-04-04 10:22:56,775 [MainThread:11264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) QUERY = "\n            SELECT name, type FROM sqlite_master\n            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'\n            ORDER BY name" - PARAMS = (); args=None
